node_id,round,simulation_time,packet_rate,energy_remaining,energy_consumed_uJ,dist_to_ch,dist_to_bs,is_cluster_head,x_pos,y_pos,adv_ch_sent,adv_ch_rcvd,join_req_sent,join_req_rcvd,sch_sent,sch_rcvd,data_sent,data_rcvd,data_sent_bs,send_rcv_ratio,nbr_1_status,nbr_2_status,nbr_3_status,nbr_4_status,nbr_5_status,label
38,1,1,15.3834,98.97,1.02998,14.4707,48.3169,0,14.247,17.5001,0,6,1,0,0,1,2,2,0,1,1,1,1,1,1,0
39,1,1,36.252,98.7501,1.24988,14.8372,30.3984,0,19.6179,50.9949,0,3,1,0,0,1,4,4,0,1,1,1,1,1,1,0
40,1,1,68.7033,97.895,2.10502,17.5544,15.6414,0,64.4886,44.1066,0,3,1,0,0,1,7,7,0,1,1,1,1,1,1,0
41,1,1,8.21154,97.8415,2.15852,18.2242,34.0391,1,70.6626,22.9498,1,3,0,11,1,0,11,11,11,1,1,1,1,1,1,0
42,1,1,20.1757,98.5276,1.47242,19.0425,46.6752,0,63.4803,5.31376,0,4,1,0,0,1,3,3,0,1,1,1,1,1,1,0
43,1,1,4.59889,98.2872,1.71278,13.4284,47.3412,0,80.4288,13.7333,0,3,1,0,0,1,1,1,0,1,1,1,0,1,1,0
44,1,1,52.5993,97.5182,2.48182,9.32549,16.0045,0,56.0551,35.1852,0,2,1,0,0,1,6,6,0,1,1,1,1,1,1,0
45,1,1,63.0325,95.9641,4.03594,14.4252,22.2456,0,51.2314,72.2115,0,2,1,0,0,1,7,7,0,1,1,0,1,1,0,0
46,1,1,30.5165,96.9907,3.00932,4.28838,31.6713,0,71.848,27.0711,0,2,1,0,0,1,4,4,0,1,1,1,1,1,1,0
47,1,1,66.2479,98.389,1.61103,7.31181,26.9483,0,46.1701,23.3253,0,2,1,0,0,1,7,7,0,1,1,1,1,1,1,0
48,1,1,54.5647,98.9777,1.02226,4.9497,51.1337,0,6.28699,23.4702,0,3,1,0,0,1,6,6,0,1,1,1,1,1,1,0
49,1,1,50.1593,98.0965,1.90349,16.8985,47.4762,0,96.982,43.1679,0,3,1,0,0,1,6,6,0,1,1,1,1,1,1,0
50,1,1,64.6306,95.6903,4.30971,7.87497,24.0657,0,26.9308,56.8536,0,3,1,0,0,1,7,7,0,1,1,0,1,1,1,0
51,1,1,50.6345,96.1431,3.85691,28.3584,51.9176,1,96.392,73.3071,1,7,0,4,1,0,4,4,4,1,1,1,1,1,1,0
52,1,1,16.7332,97.459,2.541,3.8805,48.7385,0,3.47166,35.4897,0,3,1,0,0,1,2,2,0,1,1,1,1,1,1,0
53,1,1,49.4974,97.9586,2.04137,7.67845,37.664,0,57.1975,86.9699,0,1,1,0,0,1,5,5,0,1,1,1,1,1,1,0
54,1,1,45.3876,98.4907,1.50929,8.16935,34.0888,0,76.5475,28.6161,1,2,1,0,0,1,5,5,0,1,1,1,1,1,1,0
55,1,1,66.9641,97.5073,2.49265,9.63122,32.2426,0,80.973,58.9586,0,2,1,0,0,1,7,7,0,1,1,1,1,1,1,0
56,1,1,34.9091,97.7668,2.23323,17.166,40.1017,0,48.0779,9.94441,0,4,1,0,0,1,4,4,0,1,1,1,1,1,1,0
57,1,1,70.7937,98.3979,1.60211,11.1502,26.6173,0,41.7693,24.6872,0,1,1,0,0,1,8,8,0,1,1,1,1,1,1,0
58,1,1,69.7679,97.4499,2.55007,16.0213,47.1023,0,96.9411,46.1074,0,2,1,0,0,1,7,7,0,1,1,1,1,1,1,0
59,1,1,61.5495,98.8319,1.1681,20.1444,43.199,0,69.579,88.5073,0,5,1,0,0,1,7,7,0,1,1,1,1,1,1,0
60,1,1,13.7364,97.6108,2.38921,14.8611,60.3753,0,90.4494,5.17785,0,2,1,0,0,1,2,2,0,1,1,1,1,1,1,0
61,1,1,63.2404,98.3927,1.60734,15.3449,48.0034,1,3.19069,39.36,1,9,0,6,1,0,6,6,6,1,1,1,1,1,1,0
62,1,1,49.9234,98.016,1.98396,11.8975,40.3647,0,84.8745,70.3243,0,3,1,0,0,1,5,5,0,1,1,1,1,1,1,0
63,1,1,58.5369,96.9659,3.03414,14.9224,30.64,0,19.3766,51.0087,0,3,1,0,0,1,6,6,0,1,1,1,1,1,1,0
64,1,1,13.6213,97.3562,2.64376,13.5735,45.3657,0,70.2084,9.38396,1,6,1,0,0,1,2,2,0,1,1,1,1,1,1,0
65,1,1,41.2591,98.6317,1.36827,16.1073,37.1788,0,80.3971,71.4074,0,3,1,0,0,1,5,5,0,1,1,1,1,1,1,0
66,1,1,52.3223,98.8883,1.11167,11.2378,23.938,0,67.5847,33.7578,0,5,1,0,0,1,6,6,0,1,1,1,1,1,1,0
67,1,1,47.3089,98.7791,1.22086,18.6098,13.9526,0,36.0668,49.2631,0,3,1,0,0,1,5,5,0,1,1,1,1,1,1,0
68,1,1,38.1907,97.6112,2.38881,13.5849,50.9719,0,12.1577,15.8518,0,4,1,0,0,1,4,4,0,1,1,1,1,1,1,0
69,1,1,71.8183,98.096,1.90402,9.31049,33.2967,0,62.2192,19.0265,0,4,1,0,0,1,8,8,0,1,1,1,1,1,1,0
70,1,1,14.8417,97.363,2.63697,19.2847,37.6004,0,68.4439,82.766,0,2,1,0,0,1,2,2,0,1,1,1,1,1,1,0
71,1,1,58.9336,96.8427,3.15726,24.7886,54.6388,1,95.1762,19.2672,1,9,0,3,1,0,3,3,3,1,1,1,1,1,1,0
72,1,1,20.274,97.5939,2.40608,7.65514,46.8815,0,94.0611,66.0155,0,1,1,0,0,1,3,3,0,1,1,1,1,1,1,0
73,1,1,43.1313,96.5023,3.49767,15.7765,15.7616,0,65.5711,47.5572,0,1,1,0,0,1,5,5,0,1,1,1,1,1,1,0
74,1,1,46.5016,98.1467,1.85327,18.1505,56.1925,0,11.509,9.06055,0,1,1,0,0,1,5,5,0,1,1,1,1,1,1,0
75,1,1,10.9523,97.9198,2.08018,20.9818,10.2215,0,45.8408,59.3371,0,4,1,0,0,1,2,2,0,1,1,1,1,1,1,0
76,1,1,50.9756,98.032,1.96798,11.7895,39.584,0,64.2375,13.065,0,1,1,0,0,1,6,6,0,1,1,1,1,1,1,0
77,1,1,33.833,97.5903,2.40969,17.6637,46.7888,0,65.4655,94.1589,1,6,1,0,0,1,4,4,0,1,1,1,1,1,1,0
78,1,1,67.6561,99.1826,0.817444,23.6242,59.1178,0,4.34297,87.5546,0,1,1,0,0,1,7,7,0,1,1,1,1,1,1,0
79,1,1,52.1652,97.2744,2.72561,15.4179,43.7698,0,64.6474,8.75378,0,5,1,0,0,1,6,6,0,1,1,0,1,1,1,0
80,1,1,26.5918,98.3023,1.69774,20.7454,46.0058,0,29.2898,91.0806,0,3,1,0,0,1,3,3,0,1,1,1,1,1,1,0
81,1,1,74.4047,98.2853,1.71473,18.3366,45.0632,1,7.2008,64.1039,1,7,0,6,1,0,6,6,6,1,1,1,1,1,1,0
82,1,1,75.092,96.8223,3.17774,18.5176,51.1089,0,62.7647,99.4892,0,5,1,0,0,1,8,8,0,1,1,1,1,1,1,0
83,1,1,71.6359,97.8209,2.17913,31.0869,55.339,0,20.1089,96.5717,1,6,1,0,0,1,8,7,0,0.875,1,1,1,1,1,0
84,1,1,6.32245,98.5821,1.41789,7.19307,33.2845,0,75.3378,28.4163,0,4,1,0,0,1,1,1,0,1,1,1,1,1,1,0
85,1,1,45.3853,97.1299,2.87006,25.4786,44.3798,0,34.9543,8.24844,0,2,1,0,0,1,5,5,0,1,0,1,1,1,1,0
86,1,1,6.21854,98.838,1.16195,25.6933,50.105,0,19.1691,89.4963,0,3,1,0,0,1,1,1,0,1,1,1,1,1,1,0
87,1,1,47.2955,97.0675,2.93255,17.2256,47.994,0,97.6112,43.9505,0,2,1,0,0,1,5,5,0,1,1,1,1,1,1,0
88,1,1,68.9338,98.8586,1.14143,19.6087,66.1061,0,2.02139,4.52403,1,5,1,0,0,1,7,7,0,1,1,1,1,1,1,0
89,1,1,69.2954,98.4884,1.51156,7.904,53.7131,0,93.9811,80.8345,0,3,1,0,0,1,7,7,0,1,1,1,1,1,1,0
90,1,1,17.5607,98.7665,1.23348,19.9043,5.33065,0,47.0956,45.5301,1,3,1,0,0,1,2,2,0,1,1,1,0,1,1,0
91,1,1,57.7333,96.9515,3.04852,28.3584,31.2547,1,81.2476,49.3313,1,8,0,11,1,0,10,10,10,1,1,1,1,1,1,0
92,1,1,74.1941,98.2777,1.72226,8.84791,60.5966,0,0.293673,15.3413,0,5,1,0,0,1,8,8,0,1,1,1,1,1,1,0
93,1,1,45.4934,97.9727,2.0273,24.4497,8.19786,0,57.2239,53.8756,0,1,1,0,0,1,5,5,0,1,1,1,1,1,1,0
94,1,1,53.1922,97.1305,2.86945,15.8048,9.78345,0,46.3859,40.9085,0,3,1,0,0,1,6,6,0,1,1,1,1,1,1,0
95,1,1,69.5736,99.0814,0.91855,15.7547,32.2563,0,18.4592,43.2438,0,3,1,0,0,1,7,7,0,1,1,1,1,1,1,0
96,1,1,60.1484,98.018,1.98202,5.92236,49.4354,0,7.18826,25.2813,0,3,1,0,0,1,7,7,0,1,1,1,1,1,1,0
97,1,1,48.8396,97.2397,2.76032,8.93606,58.465,0,99.0315,81.8445,0,4,1,0,0,1,5,5,0,1,1,1,0,1,1,0
98,1,1,32.5621,98.769,1.23103,18.094,46.0626,0,66.4169,93.0377,0,3,1,0,0,1,4,4,0,1,1,1,1,1,1,0
0,2,2,22.3913,93.66,1.72929,35.5491,8.84913,0,57.1363,44.7674,0,3,1,0,0,1,11,8,0,0.727273,1,1,1,1,1,1
1,2,2,65.5248,95.9021,2.4759,6.20723,51.4655,0,96.697,71.6352,0,1,1,0,0,1,20,13,0,0.65,1,1,1,1,1,1
2,2,2,76.3785,93.5076,2.40709,26.4782,27.4895,1,22.7523,53.6377,1,5,0,10,1,0,9,9,9,1,0,1,1,1,0,1
3,2,2,49.5391,92.5959,4.24494,14.0929,49.8266,0,0.179944,49.1927,0,2,1,0,0,1,7,5,0,0.714286,1,1,1,1,1,1
4,2,2,94.5054,94.3232,2.77749,11.9124,30.9375,0,79.3551,59.7677,0,2,1,0,0,1,15,11,0,0.733333,0,1,1,1,1,1
5,2,2,28.2284,95.3599,1.55816,15.5511,47.8702,0,38.4391,3.54682,0,3,1,0,0,1,17,11,0,0.647059,1,1,0,1,1,1
6,2,2,10.2326,93.8368,3.2713,24.587,17.3159,0,34.9098,41.5072,0,4,1,0,0,1,6,4,0,0.666667,1,1,1,1,1,1
7,2,2,63.0746,93.7397,2.94711,11.8179,35.2171,0,62.5502,17.095,0,3,1,0,0,1,10,6,0,0.6,1,1,1,1,1,1
8,2,2,53.1693,92.9264,4.03543,19.7029,56.2342,0,85.9458,93.2456,0,5,1,0,0,1,19,16,0,0.842105,0,1,1,1,1,1
9,2,2,66.9311,93.5309,4.03354,17.5321,44.3771,0,45.9551,5.80761,0,1,1,0,0,1,15,12,0,0.8,1,1,1,1,1,1
10,2,2,18.8228,94.6756,3.14365,3.37786,35.3448,0,32.3943,19.3521,0,4,1,0,0,1,6,5,0,0.833333,1,1,1,1,1,1
11,2,2,49.1672,93.1532,3.94876,41.5025,26.4459,0,30.3353,67.6829,0,3,1,0,0,1,8,5,0,0.625,1,1,1,1,1,1
12,2,2,136.019,94.4274,2.59636,8.6264,38.384,1,29.5639,17.5085,2,4,0,9,1,0,9,9,0,1,0,0,1,1,1,2
13,2,2,102.636,91.539,4.80383,11.8819,55.3403,0,85.1952,7.29351,0,3,1,0,0,1,11,3,0,0.272727,1,1,1,1,1,2
14,2,2,95.4581,91.8446,3.16651,11.0213,33.1236,0,67.6533,21.9726,0,3,1,0,0,1,10,3,0,0.3,1,1,1,0,1,2
15,2,2,76.2622,95.2066,2.41533,24.0431,59.8187,0,90.2276,94.2721,0,4,1,0,0,1,8,2,0,0.25,0,1,1,1,0,2
16,2,2,44.9233,92.2367,4.02079,10.468,64.5779,0,3.36146,5.33291,0,3,1,0,0,1,5,1,0,0.2,1,1,1,1,0,2
17,2,2,63.3378,96.677,1.3285,24.0862,60.4469,0,89.6885,95.5922,0,1,1,0,0,1,7,7,0,1,1,1,0,1,0,0
18,2,2,29.6779,96.5246,1.07981,6.39587,53.2729,0,99.9801,68.4387,0,2,1,0,0,1,3,3,0,1,1,1,1,1,1,0
19,2,2,75.1775,93.9585,1.74169,15.5366,55.8845,0,91.0767,12.1082,0,3,1,0,0,1,8,8,0,1,1,1,1,0,1,0
20,2,2,4.04218,95.988,2.5064,24.4841,31.4814,0,81.1182,45.2321,0,5,1,0,0,1,1,1,0,1,0,1,0,1,1,0
21,2,2,49.1564,96.7019,0.881787,36.5266,28.4956,0,25.5306,64.6031,0,2,1,0,0,1,5,5,0,1,1,1,1,1,0,0
22,2,2,65.8718,93.3017,4.29638,15.2803,43.8683,1,75.7194,14.4621,1,5,0,2,1,0,2,2,2,1,1,1,1,0,0,0
23,2,2,75.739,95.0958,2.48907,13.7078,51.5158,0,89.2534,16.6377,0,3,1,0,0,1,8,7,0,0.875,1,1,1,1,1,0
24,2,2,23.6064,95.5808,2.07892,8.47313,37.4587,0,85.5261,61.8763,0,4,1,0,0,1,3,3,0,1,1,1,1,1,1,0
25,2,2,5.98945,95.9379,2.87048,33.7999,33.7449,0,19.8109,65.0778,0,5,1,0,0,1,1,1,0,1,1,1,1,1,1,0
26,2,2,74.7567,97.2347,1.77154,35.2953,27.5909,0,25.6396,62.9549,0,4,1,0,0,1,8,7,0,0.875,1,1,1,1,1,0
27,2,2,74.4682,94.0672,3.36481,12.1702,28.6729,0,40.4412,22.9673,0,1,1,0,0,1,8,8,0,1,1,1,1,1,0,0
28,2,2,61.6996,95.9294,1.26979,12.8903,50.5765,0,34.1836,1.96024,0,4,1,0,0,1,7,7,0,1,1,0,0,1,1,0
29,2,2,24.5617,97.6225,1.08206,18.3285,31.3265,0,47.8505,18.7473,0,5,1,0,0,1,3,3,0,1,0,1,1,1,1,0
30,2,2,13.896,93.9558,3.54787,15.7814,58.5143,0,99.805,80.7145,0,3,1,0,0,1,2,2,0,1,1,0,1,1,1,0
31,2,2,67.9444,97.1367,1.7919,18.4928,36.5392,0,49.5313,86.5362,0,1,1,0,0,1,7,7,0,1,0,1,1,1,1,0
32,2,2,66.8013,94.5223,2.90418,15.2367,39.4971,1,67.9737,85.1706,1,7,0,10,1,0,9,9,9,1,1,1,1,1,0,0
33,2,2,40.8647,96.8395,1.20758,13.0919,35.5412,0,54.3849,14.7303,0,4,1,0,0,1,5,5,0,1,1,1,1,1,0,0
34,2,2,56.9156,95.3733,3.46356,26.3021,47.8876,0,36.6947,96.0021,0,2,1,0,0,1,6,6,0,1,1,0,1,1,1,0
35,2,2,39.8749,95.3024,2.15038,39.6366,50.6802,0,5.94293,75.0492,0,6,1,0,0,1,4,4,0,1,1,1,0,1,1,0
36,2,2,43.4024,95.7343,1.59131,18.6403,21.4749,0,56.5268,70.4591,0,3,1,0,0,1,5,5,0,1,1,1,1,1,1,0
37,2,2,11.557,96.1124,1.41016,30.4803,28.8254,0,22.67,59.1639,0,3,1,0,0,1,2,2,0,1,1,1,1,1,1,0
38,2,2,54.1629,97.2257,1.74427,12.4383,48.3169,0,14.247,17.5001,0,6,1,0,0,1,6,6,0,1,1,1,1,1,0,0
39,2,2,27.2636,96.4868,2.26331,22.3856,30.3984,0,19.6179,50.9949,0,5,1,0,0,1,3,3,0,1,1,1,1,1,1,0
40,2,2,27.6634,94.7441,3.15092,31.7006,15.6414,0,64.4886,44.1066,0,5,1,0,0,1,3,3,0,1,1,1,1,1,1,0
41,2,2,52.3931,96.3567,1.48483,9.8799,34.0391,0,70.6626,22.9498,0,5,1,0,0,1,6,6,0,1,1,1,0,1,1,0
42,2,2,11.7957,96.3106,2.21696,15.2803,46.6752,1,63.4803,5.31376,1,8,0,8,1,0,8,8,8,1,1,0,1,1,1,0
43,2,2,39.143,96.5176,1.76965,4.76549,47.3412,0,80.4288,13.7333,0,5,1,0,0,1,4,4,0,1,1,1,1,1,1,0
44,2,2,25.5695,94.1235,3.39471,28.568,16.0045,0,56.0551,35.1852,0,1,1,0,0,1,3,3,0,1,0,1,1,1,1,0
45,2,2,22.5286,92.9659,2.99818,21.1718,22.2456,0,51.2314,72.2115,0,3,1,0,0,1,3,3,0,1,1,1,1,0,0,0
46,2,2,61.0646,95.6333,1.3574,13.19,31.6713,0,71.848,27.0711,0,2,1,0,0,1,7,7,0,1,0,1,1,1,1,0
47,2,2,8.81559,97.8045,0.584476,17.5955,26.9483,0,46.1701,23.3253,0,4,1,0,0,1,1,1,0,1,1,1,1,0,1,0
48,2,2,46.8631,97.0774,1.90035,10.0995,51.1337,0,6.28699,23.4702,0,2,1,0,0,1,5,5,0,1,1,0,1,1,1,0
49,2,2,24.9676,95.7908,2.30569,23.0336,47.4762,0,96.982,43.1679,0,2,1,0,0,1,3,3,0,1,1,1,0,1,1,0
50,2,2,66.1947,92.765,2.92532,31.7293,24.0657,0,26.9308,56.8536,0,5,1,0,0,1,7,7,0,1,1,1,1,1,1,0
51,2,2,1.80116,93.6931,2.45,7.65514,51.9176,0,96.392,73.3071,0,2,1,0,0,1,1,1,0,1,1,1,1,1,1,0
52,2,2,9.1258,95.3597,2.09935,20.3974,48.7385,1,3.47166,35.4897,1,4,0,6,1,0,6,6,6,1,1,1,0,1,1,0
53,2,2,14.7905,96.4302,1.52844,10.9253,37.664,0,57.1975,86.9699,0,1,1,0,0,1,2,2,0,1,0,1,1,1,1,0
54,2,2,19.0021,96.2234,2.26732,14.1782,34.0888,0,76.5475,28.6161,0,5,1,0,0,1,2,2,0,1,1,0,1,0,1,0
55,2,2,53.4526,95.6117,1.89567,12.0167,32.2426,0,80.973,58.9586,0,1,1,0,0,1,6,6,0,1,1,1,0,1,1,0
56,2,2,29.9583,96.6033,1.16345,16.0834,40.1017,0,48.0779,9.94441,0,4,1,0,0,1,3,3,0,1,1,1,1,1,1,0
57,2,2,37.0909,96.3851,2.01274,14.16,26.6173,0,41.7693,24.6872,0,5,1,0,0,1,4,4,0,1,1,0,1,0,1,0
58,2,2,78.0434,94.3214,3.12855,20.1153,47.1023,0,96.9411,46.1074,0,2,1,0,0,1,8,8,0,1,1,1,0,0,1,0
59,2,2,83.9377,96.3326,2.49925,3.70282,43.199,0,69.579,88.5073,0,6,1,0,0,1,9,9,0,1,1,1,1,1,0,0
60,2,2,48.1994,95.5228,2.08802,17.4118,60.3753,0,90.4494,5.17785,0,2,1,0,0,1,5,5,0,1,1,1,1,1,1,0
61,2,2,57.0413,94.8426,3.55008,3.8805,48.0034,0,3.19069,39.36,0,3,1,0,0,1,6,6,0,1,1,1,0,1,1,0
62,2,2,37.0572,97.3953,0.620718,10.1468,40.3647,1,84.8745,70.3243,1,8,0,10,1,0,9,9,9,1,0,1,1,1,1,0
63,2,2,9.28322,94.6918,2.27404,22.2218,30.64,0,19.3766,51.0087,0,3,1,0,0,1,1,1,0,1,1,1,1,1,1,0
64,2,2,42.0142,95.0467,2.30958,7.49388,45.3657,0,70.2084,9.38396,0,3,1,0,0,1,5,5,0,1,0,1,1,1,1,0
65,2,2,76.3907,97.095,1.53677,4.60653,37.1788,0,80.3971,71.4074,0,2,1,0,0,1,8,8,0,1,1,0,1,1,1,0
66,2,2,11.7461,96.5583,2.32999,20.9404,23.938,0,67.5847,33.7578,0,2,1,0,0,1,2,2,0,1,1,1,1,1,0,0
67,2,2,31.4187,97.5071,1.27204,32.4136,13.9526,0,36.0668,49.2631,0,1,1,0,0,1,4,4,0,1,1,1,1,1,1,0
68,2,2,52.6695,96.3854,1.2258,11.875,50.9719,0,12.1577,15.8518,0,4,1,0,0,1,6,6,0,1,1,1,0,1,1,0
69,2,2,60.7964,95.4059,2.69008,13.7706,33.2967,0,62.2192,19.0265,0,4,1,0,0,1,7,7,0,1,1,1,1,1,1,0
70,2,2,56.2836,95.5784,1.78462,2.45017,37.6004,0,68.4439,82.766,0,3,1,0,0,1,6,6,0,1,1,1,0,1,1,0
71,2,2,2.64591,94.4829,2.35981,20.0414,54.6388,0,95.1762,19.2672,0,5,1,0,0,1,1,1,0,1,1,1,1,1,1,0
72,2,2,53.7564,95.6119,1.98197,10.1468,46.8815,1,94.0611,66.0155,1,10,0,4,1,0,4,4,4,1,1,1,0,1,1,0
73,2,2,58.3857,93.4089,3.09338,29.849,15.7616,0,65.5711,47.5572,0,5,1,0,0,1,6,6,0,1,1,1,1,1,1,0
74,2,2,18.2116,95.4734,2.67333,12.8542,56.1925,0,11.509,9.06055,0,6,1,0,0,1,2,2,0,1,1,0,1,1,1,0
75,2,2,12.0872,94.0946,3.82519,34.0182,10.2215,0,45.8408,59.3371,0,4,1,0,0,1,2,2,0,1,1,1,1,1,1,0
76,2,2,69.4658,94.6669,3.36508,7.78818,39.584,0,64.2375,13.065,0,4,1,0,0,1,7,7,0,1,1,1,1,1,1,0
77,2,2,73.6932,95.0093,2.58096,5.97556,46.7888,0,65.4655,94.1589,1,4,1,0,0,1,8,8,0,1,1,1,1,1,1,0
78,2,2,18.2038,98.4446,0.737973,52.0722,59.1178,0,4.34297,87.5546,0,5,1,0,0,1,2,2,0,1,1,1,1,1,1,0
79,2,2,66.048,95.9463,1.32814,3.63263,43.7698,0,64.6474,8.75378,0,1,1,0,0,1,7,6,0,0.857143,1,1,1,0,1,0
80,2,2,21.4244,96.6175,1.68476,34.5148,46.0058,0,29.2898,91.0806,0,5,1,0,0,1,3,3,0,1,1,1,1,0,0,0
81,2,2,48.0694,96.8728,1.41252,28.8562,45.0632,0,7.2008,64.1039,0,2,1,0,0,1,5,5,0,1,0,1,1,1,1,0
